ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
GR_01_MS,202666,138819.62241566385,0.6849674953651025,0.7164461874615521,0.7649371908080367,sthd_juv,2021
GR_01_NF,43771,26303.298049760866,0.6009297948358701,0.47129508489875643,0.8944756505668905,sthd_juv,2021
GR_01_SF,182242,128766.85727956693,0.7065706987388578,0.7234204957239224,0.8144765036311209,sthd_juv,2021
GR_02_MS,149558,83702.6529113075,0.5596668376904445,0.685270576568408,0.5980597560096591,sthd_juv,2021
GR_02_NF,27893,13822.65937564864,0.49556015400454023,0.39688341513584313,0.7692391673374772,sthd_juv,2021
GR_02_SF,100783,69456.4942336648,0.6891687510161911,0.7023786593679843,0.805657129142287,sthd_juv,2021
GR_03_MS,61472,40957.07315674929,0.6662720125707524,0.60610542580201,0.8471817027416398,sthd_juv,2021
GR_03_NF,34623,16939.084019214723,0.48924368250049743,0.3824435125767174,0.7729729381383847,sthd_juv,2021
GR_03_SF,48544,30906.88812370344,0.6366778206102389,0.6559242102078829,0.7641845343138478,sthd_juv,2021
GR_04_MS,70396,49885.72317042745,0.7086442861871052,0.7421172789597923,0.7966293687876506,sthd_juv,2021
GR_04_NF,24411,11308.17835490615,0.4632410943798349,0.33647856835655804,0.7993204917644912,sthd_juv,2021
GR_04_SF,46654,29315.03606852967,0.6283498964403839,0.630098734476581,0.7775313646525384,sthd_juv,2021
GR_05_MS,93833,59299.829505999776,0.6319720088454998,0.7009870954455631,0.7260803758775572,sthd_juv,2021
GR_05_NF,159,91.8475945033133,0.5776578270648636,0.5031173873689823,0.7834362407337945,sthd_juv,2021
GR_05_SF,35644,23362.594354884117,0.6554425528808248,0.668182760650977,0.7774267121603414,sthd_juv,2021
