ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
GR_01_MS,399401,218091.21355441445,0.5460457373777593,0.855026981830907,0.5570299083814447,sthd_spw,2021
GR_01_NF,72330,37790.4462429923,0.5224726426516286,0.7044013425640513,0.6460502428996763,sthd_spw,2021
GR_01_SF,240407,78380.15142270084,0.3260310699052059,0.7621737258513576,0.41231795181530884,sthd_spw,2021
GR_02_MS,315134,161946.8844681175,0.5138984827664342,0.8571896890710317,0.5302048509281074,sthd_spw,2021
GR_02_NF,47753,27618.866211151937,0.5783692377683484,0.6494908590227445,0.7193524420108113,sthd_spw,2021
GR_02_SF,125826,59662.65667791944,0.47416795159918806,0.773871722482574,0.5500111801733193,sthd_spw,2021
GR_03_MS,108062,40506.89277209807,0.3748486310830641,0.778868416627641,0.45008426192002243,sthd_spw,2021
GR_03_NF,55581,35993.15893795341,0.6475802691199045,0.6855205724816293,0.7839116044099259,sthd_spw,2021
GR_03_SF,66193,34101.911772368476,0.5151890951062571,0.6905445076913806,0.6251278278164928,sthd_spw,2021
GR_04_MS,97401,27576.494346545078,0.28312331851361977,0.8772982214283198,0.3168987246483675,sthd_spw,2021
GR_04_NF,35766,23454.291088337544,0.6557705946523946,0.6709069358312604,0.813196176061613,sthd_spw,2021
GR_04_SF,58404,33182.972811858635,0.5681626739925114,0.7116651218759095,0.6789889867422408,sthd_spw,2021
GR_05_MS,132016,52396.12493210705,0.3968922322453873,0.7726320307847806,0.47854729269643387,sthd_spw,2021
GR_05_NF,247,156.0129232108593,0.6316312680601591,0.7411238369211434,0.759530416112921,sthd_spw,2021
GR_05_SF,41597,25744.637671386823,0.6189061151377941,0.7927792843355984,0.6900894275274226,sthd_spw,2021
