ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
RKM_01_MS,22451,13218.262065324932,0.5887605035555179,0.6121904080062823,0.7115719951148312,sthd_win,2019
RKM_01_NF,9992,3751.0136107038707,0.3754016824163201,0.28826863384288837,0.6518338133743489,sthd_win,2019
RKM_01_SF,16151,6440.45992194023,0.3987653966900025,0.4527862155932822,0.4973257724693427,sthd_win,2019
RKM_02_MS,26869,14716.777557231486,0.5477233077982614,0.5534438994246704,0.7325849225209083,sthd_win,2019
RKM_02_NF,9747,2824.29759757407,0.2897607056093229,0.20788818204124185,0.5654001930970104,sthd_win,2019
RKM_02_SF,16981,4381.175721238367,0.258004576952969,0.3395102699557073,0.3989173233065363,sthd_win,2019
RKM_03_MS,21647,11417.314134784043,0.5274317057691155,0.5966505774510087,0.6185510844028717,sthd_win,2019
RKM_03_NF,7837,3147.6333692334592,0.40163753594914625,0.32894403836073427,0.6211794626176418,sthd_win,2019
RKM_03_SF,13376,3205.452209966257,0.23964206115178358,0.38136123569887015,0.32608488188408113,sthd_win,2019
RKM_04_MS,17912,9618.38384116441,0.5369798928742971,0.6186112971424549,0.5935254722122143,sthd_win,2019
RKM_04_NF,8967,3393.5274056755006,0.3784462368323297,0.26732968261302215,0.6741062173250328,sthd_win,2019
RKM_04_SF,13411,4092.147634603316,0.3051336689734782,0.41728826897563626,0.3715521831234143,sthd_win,2019
RKM_05_MS,29284,14305.595827702433,0.4885123558155455,0.4841363410378247,0.6795412530981868,sthd_win,2019
RKM_05_NF,7621,2962.66718737036,0.3887504510392809,0.291256507624841,0.6533117509093744,sthd_win,2019
RKM_05_SF,16088,6125.736357522663,0.38076431859290544,0.4546299315086813,0.4920678725489803,sthd_win,2019
RKM_06_MS,20545,10773.29196150601,0.5243753692628867,0.6150476173720301,0.5991442982151826,sthd_win,2019
RKM_06_NF,8568,3346.143950495869,0.39053967676188944,0.2754411446511454,0.7015595282975804,sthd_win,2019
RKM_06_SF,15536,5850.755487093702,0.37659342733610335,0.4234397615926432,0.5420874705244496,sthd_win,2019
RKM_07_MS,26441,13310.09138296917,0.5033883507798181,0.5339522227747647,0.6350159577262479,sthd_win,2019
RKM_07_NF,8809,3383.8499976843596,0.3841355429315881,0.260902995085413,0.7240915024996257,sthd_win,2019
RKM_07_SF,14124,5390.519029513001,0.3816566857485841,0.46991175848571504,0.44262565613099486,sthd_win,2019
RKM_08_MS,22361,11210.610033962876,0.5013465423712211,0.5592555249347151,0.6311630032862305,sthd_win,2019
RKM_08_NF,11633,4181.799693137407,0.3594773225425434,0.21445990286713523,0.7981369706093471,sthd_win,2019
RKM_08_SF,14234,5374.566181479022,0.3775864958183941,0.44823799070056036,0.46098162417474947,sthd_win,2019
RKM_09_MS,22860,11615.71530706063,0.508124029180255,0.5684028198678385,0.6135923773755776,sthd_win,2019
RKM_09_NF,10236,3840.80072552152,0.37522476802672133,0.23737600328965838,0.7833434536266269,sthd_win,2019
RKM_09_SF,15345,6016.092230703682,0.39205553800610504,0.4669905927617002,0.4863524552927428,sthd_win,2019
RKM_10_MS,17057,9672.762930579484,0.5670846532555246,0.6792953679636735,0.5700962020160375,sthd_win,2019
RKM_10_NF,8325,3162.4094126354903,0.3798689985147736,0.23848400325115837,0.749769379912733,sthd_win,2019
RKM_10_SF,20764,8516.583167081699,0.41016100785405984,0.4078120112306161,0.5862709170508114,sthd_win,2019
