ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
RKM_01_MS,15303,8047.984788307454,0.5259089582635728,0.4226725501204632,0.8666715516299228,chnk_juv,2021
RKM_01_NF,8895,2420.0629374925047,0.27207003232068633,0.1532597705523707,0.7406959090702249,chnk_juv,2021
RKM_01_SF,14616,1469.4454405804572,0.10053677070200173,0.35304632304580513,0.19350357743257804,chnk_juv,2021
RKM_02_MS,16512,8722.141699565575,0.5282304808360934,0.4079857438078962,0.8869072902007318,chnk_juv,2021
RKM_02_NF,8126,2306.151430628961,0.2837990931121045,0.16520416477504912,0.7087862194246889,chnk_juv,2021
RKM_02_SF,15513,1719.6666389349848,0.11085326106716849,0.32761363122898274,0.2341745550670447,chnk_juv,2021
RKM_03_MS,17378,9252.113288667053,0.5324038030076564,0.38958189843037416,0.9103490664424423,chnk_juv,2021
RKM_03_NF,7047,1787.8605509484187,0.25370520092924914,0.1395975507225744,0.6761151099215695,chnk_juv,2021
RKM_03_SF,13649,1262.4198681330308,0.09249174797663058,0.3562495031053996,0.17738865496745504,chnk_juv,2021
RKM_04_MS,13607,6346.151519758627,0.4663887351920796,0.33649777344403464,0.8629152524775285,chnk_juv,2021
RKM_04_NF,7193,1931.110501224175,0.268470805119446,0.14168633134676192,0.7416337547653137,chnk_juv,2021
RKM_04_SF,12418,979.525353121222,0.07887947762290401,0.3572850317570449,0.14652447645240058,chnk_juv,2021
RKM_05_MS,18206,9368.286306444556,0.5145713669364251,0.39091849378211574,0.8872481673476291,chnk_juv,2021
RKM_05_NF,7081,1887.1105258809403,0.2665033930067703,0.13439208897115476,0.7901290853504792,chnk_juv,2021
RKM_05_SF,15097,1366.1889429406729,0.0904940678903539,0.33502359548351907,0.19350923530817382,chnk_juv,2021
RKM_06_MS,16117,7725.265469465405,0.4793240348368434,0.3369325291099725,0.8895546586456788,chnk_juv,2021
RKM_06_NF,8395,2362.5448346156627,0.2814228510560646,0.12575056423920766,0.8906247361189841,chnk_juv,2021
RKM_06_SF,15588,1919.6768858330324,0.12315094212426433,0.3112876654023401,0.2700249972916873,chnk_juv,2021
RKM_07_MS,15202,8144.950439337641,0.5357815050215525,0.4305240921256985,0.8570748600442737,chnk_juv,2021
RKM_07_NF,8039,2092.893484691158,0.26034251582176365,0.10092986497266192,0.9226779668285029,chnk_juv,2021
RKM_07_SF,13782,1225.467781565094,0.08891799314795341,0.3496209866008211,0.15259519019471732,chnk_juv,2021
RKM_08_MS,16354,7900.3432511352,0.4830832365864743,0.3411692843644755,0.8748995456157779,chnk_juv,2021
RKM_08_NF,7831,2180.327202918008,0.2784225773104339,0.12053313912528439,0.9201069326255228,chnk_juv,2021
RKM_08_SF,11931,892.0478708677692,0.07476723416878461,0.36586124957547583,0.14930115821898354,chnk_juv,2021
RKM_09_MS,19902,10215.170648805797,0.5132735729477338,0.3657011123843088,0.9211153241519999,chnk_juv,2021
RKM_09_NF,7703,2309.5417947135866,0.29982367839979057,0.13808885961488776,0.923525910880153,chnk_juv,2021
RKM_09_SF,13584,1294.2751834734809,0.09527938629810666,0.36917231209496454,0.14984805042059046,chnk_juv,2021
RKM_10_MS,12420,6787.3662979807705,0.5464868194831538,0.4054548952538749,0.8892621140333189,chnk_juv,2021
RKM_10_NF,6993,2088.67529791221,0.29868086628231233,0.13907773123534542,0.92965386116878,chnk_juv,2021
RKM_10_SF,13531,1424.4839565590955,0.10527558617686021,0.38052709692282993,0.22234300670573734,chnk_juv,2021
RKM_11_MS,11153,5485.096522115171,0.49180458370977953,0.3237070128131326,0.9207156675765945,chnk_juv,2021
RKM_11_NF,7621,2128.213366771117,0.27925644492469714,0.11724626321247636,0.9450227527258012,chnk_juv,2021
RKM_11_SF,12633,1263.3578314345796,0.10000457780690095,0.3784042267290584,0.17971897615714913,chnk_juv,2021
RKM_12_MS,11856,5753.395913865417,0.48527293470524774,0.3293101348396695,0.920701667929116,chnk_juv,2021
RKM_12_NF,7391,1924.4545280747116,0.2603780987788813,0.10146599916513556,0.9459426537279089,chnk_juv,2021
RKM_12_SF,14010,1490.9074126970954,0.10641737421107034,0.36349265014272125,0.2621607945521072,chnk_juv,2021
RKM_13_MS,14776,8409.124641234055,0.5691069735540102,0.4301775789300914,0.928341972356754,chnk_juv,2021
RKM_13_NF,6583,1927.2399367690086,0.2927601301487177,0.13015653892747586,0.9313242441566995,chnk_juv,2021
RKM_13_SF,12479,701.7375490602572,0.0562334761647774,0.3521783980936127,0.1393513413027193,chnk_juv,2021
RKM_14_MS,14105,7891.531459603459,0.5594846834174731,0.4142503849961119,0.9388972659370486,chnk_juv,2021
RKM_14_NF,6789,1761.4396482724696,0.2594549489280409,0.09761359361329851,0.9365251328039458,chnk_juv,2021
RKM_14_SF,11461,850.223296807555,0.07418404125360396,0.36713184292110307,0.12609489660653278,chnk_juv,2021
RKM_15_MS,13904,7617.796604486182,0.547885256364081,0.4080730201004425,0.927008552699681,chnk_juv,2021
