ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
GR_01_MS,286044,150900.37456222437,0.5275425268917522,0.580322217876495,0.6370074916204779,sthd_win,2021
GR_01_NF,57978,21122.292076762766,0.3643156382897438,0.2620103421233615,0.667231448721605,sthd_win,2021
GR_01_SF,216130,75408.30461888458,0.34890253374767305,0.42352217942899945,0.4666930530016289,sthd_win,2021
GR_02_MS,247877,138046.97535677068,0.5569172426516807,0.5817932625412295,0.6826244974657907,sthd_win,2021
GR_02_NF,37393,13492.725846694782,0.36083560684338734,0.21908407042262898,0.7700399633028661,sthd_win,2021
GR_02_SF,111886,42119.15834994335,0.3764470831913139,0.4008266482157728,0.5267619538808109,sthd_win,2021
GR_03_MS,83623,35998.29580854438,0.4304831901336281,0.43947911653750965,0.6156205859737824,sthd_win,2021
GR_03_NF,44064,16030.7225298509,0.36380543141455385,0.21513340730837263,0.7772508650287187,sthd_win,2021
GR_03_SF,55714,21627.535427523777,0.38818852402490894,0.34774290025121596,0.6271658329744941,sthd_win,2021
GR_04_MS,78966,34560.83951432025,0.43766734435478877,0.5341480582332399,0.4701657884248848,sthd_win,2021
GR_04_NF,29928,10104.258093249053,0.3376188884405591,0.1778323447923284,0.7712762059810163,sthd_win,2021
GR_04_SF,51865,19865.569181387313,0.3830245672686265,0.3229861015777873,0.6281398394366107,sthd_win,2021
GR_05_MS,94949,40808.30174542777,0.42979180133995903,0.4880977022091277,0.5358685577767746,sthd_win,2021
GR_05_NF,198,83.09738424420357,0.4196837588091089,0.2702312351844151,0.7680723581350211,sthd_win,2021
GR_05_SF,38506,15191.510598994792,0.3945232067468652,0.35191301862327234,0.5796334885295351,sthd_win,2021
