ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
GR_01_MS,286044,149372.4325394316,0.5222008940562697,0.6509066295937492,0.5578939051578928,chnk_win,2021
GR_01_NF,57978,24186.004806588404,0.4171583153366519,0.3453409744980673,0.5954054375436908,chnk_win,2021
GR_01_SF,216130,68533.60795735056,0.317094378186048,0.49225010145886283,0.3728329716989894,chnk_win,2021
GR_02_MS,247877,139242.21485566837,0.5617391482697804,0.647740096615801,0.6143470705042077,chnk_win,2021
GR_02_NF,37393,16974.611150557175,0.45395157250172963,0.32069587737545807,0.7220455703297152,chnk_win,2021
GR_02_SF,111886,40705.89320834912,0.36381578757261074,0.46829692321036764,0.43344720961663447,chnk_win,2021
GR_03_MS,83623,36746.640954493545,0.4394322250396846,0.5153846699007985,0.5359034223790952,chnk_win,2021
GR_03_NF,44064,20377.242831470445,0.46244650579771346,0.32332278176588053,0.7306348358793666,chnk_win,2021
GR_03_SF,55714,22948.96390120033,0.4119065926194553,0.4209980853478559,0.5506157986528011,chnk_win,2021
GR_04_MS,78966,30386.35546905466,0.38480302242806597,0.5901882545665,0.35969541345056183,chnk_win,2021
GR_04_NF,29928,13508.68243215233,0.4513727089064532,0.3052594111385119,0.7232439905478236,chnk_win,2021
GR_04_SF,51865,21473.630118928384,0.41402930914737074,0.39967270780592307,0.549963397737591,chnk_win,2021
GR_05_MS,94949,38564.37202647654,0.4061588013194088,0.5536885326552944,0.43973645349511176,chnk_win,2021
GR_05_NF,198,93.95518234372139,0.47452112294808785,0.33701525675603233,0.7220586222229581,chnk_win,2021
GR_05_SF,38506,15567.141468921676,0.4042783324396633,0.41722470214846324,0.48805554915290245,chnk_win,2021
