ID,area_m2,WUA,HHS,d_HSI,v_HSI,scenario,year
GR_01_MS,202666,42775.10647746222,0.211062074928514,0.6800493979212179,0.16972222457405325,chnk_spw,2021
GR_01_NF,43771,15545.439878750767,0.35515386622994144,0.3953684329440462,0.44609571285300204,chnk_spw,2021
GR_01_SF,182242,127497.8187392191,0.6996072186390574,0.6922888799336514,0.8466042472693287,chnk_spw,2021
GR_02_MS,149558,11723.598532354925,0.07838830776257322,0.6411990360810684,0.06328135900688636,chnk_spw,2021
GR_02_NF,27893,3165.658187702298,0.11349292609982067,0.31658200025742594,0.11635469725076317,chnk_spw,2021
GR_02_SF,100783,69530.07295832527,0.6898988218084922,0.6667434148352517,0.8579765410789576,chnk_spw,2021
GR_03_MS,61472,20246.47216428735,0.3293608824226859,0.5564341813192634,0.30766535875631956,chnk_spw,2021
GR_03_NF,34623,2857.7495058025233,0.08253904935454823,0.30352353224025197,0.08367285806848161,chnk_spw,2021
GR_03_SF,48544,30289.082128372043,0.6239510985574334,0.6148586398755632,0.7957479307976386,chnk_spw,2021
GR_04_MS,70396,48937.044960938394,0.6951679777393374,0.7107648404946817,0.779157920782226,chnk_spw,2021
GR_04_NF,24411,1439.8282215174986,0.05898276275111624,0.25799226509079226,0.07810942420301072,chnk_spw,2021
GR_04_SF,46654,28789.406005764846,0.6170833370292975,0.583303958340267,0.8234236766092808,chnk_spw,2021
GR_05_MS,93833,61885.06764590833,0.6595234900931265,0.6665376642507302,0.7975807285191309,chnk_spw,2021
GR_05_NF,159,13.759998672641814,0.08654087215497996,0.421389432903306,0.10521997525444571,chnk_spw,2021
GR_05_SF,35644,24258.953176563606,0.680590090241376,0.623824622711737,0.8907584620006709,chnk_spw,2021
