ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,1340.6045785645238,0.6454523729246624,0.49171859839948595,0.9560083811430647,sf,chnk_juv,2021,geo
NF10,6991,3426.985236442851,0.49019957608966547,0.41982440546205196,0.7286241773923312,sf,chnk_juv,2021,geo
NF11,7623,3732.490208897667,0.4896353415843719,0.3850913156132333,0.7650093539326072,sf,chnk_juv,2021,geo
NF12,7379,3538.1105702009436,0.4794837471474378,0.3556025833851568,0.78688189240368,sf,chnk_juv,2021,geo
NF13,6595,3337.4506700236457,0.5060577210043435,0.41172359911776196,0.7772799538881594,sf,chnk_juv,2021,geo
NF14,6789,3372.862059199463,0.49681279410803697,0.35705911509128535,0.8198596330701426,sf,chnk_juv,2021,geo
NF15,6167,2676.303721339365,0.4339717401231336,0.3172360298524166,0.7571475199657232,sf,chnk_juv,2021,geo
NF16,6239,2813.4864651777766,0.4509515090844329,0.31994169056973865,0.7950753593509471,sf,chnk_juv,2021,geo
NF17,5667,2724.8930047507483,0.4808351870038377,0.3337167535774119,0.8431859503394721,sf,chnk_juv,2021,geo
NF18,5392,2602.417686275673,0.48264422965053283,0.3729504038473972,0.7922949381507448,sf,chnk_juv,2021,geo
NF19,1734,853.7502629853944,0.49235885985316863,0.3594219646625452,0.821289827551882,sf,chnk_juv,2021,geo
NF2,8098,5134.864215140468,0.6340904192566644,0.5116704716093365,0.9051059705684777,sf,chnk_juv,2021,geo
NF3,7047,4360.786009016226,0.6188145322855436,0.47654454624029324,0.9296745581885062,sf,chnk_juv,2021,geo
NF4,7193,4381.5656962330595,0.6091430135177338,0.4705036284046976,0.9178643331242698,sf,chnk_juv,2021,geo
NF5,6647,3704.530912948756,0.5573237419811579,0.4437414677943181,0.8434973792568824,sf,chnk_juv,2021,geo
NF6,9031,4859.402111753922,0.5380801806836366,0.41898020222215815,0.8262455404396506,sf,chnk_juv,2021,geo
NF7,8039,3981.206143941344,0.49523649010341386,0.3715760386211093,0.7960579805445229,sf,chnk_juv,2021,geo
NF8,7734,3805.738526283203,0.4920789405589867,0.39693552657729864,0.746605026954256,sf,chnk_juv,2021,geo
NF9,7800,3996.5255704488336,0.5123750731344658,0.429169466430664,0.7766983443012642,sf,chnk_juv,2021,geo
SF1,169985,14635.895450608688,0.08610109980650463,0.3506795218714119,0.19268880058260823,sf,chnk_juv,2021,geo
SF10,18766,2696.197251846257,0.1436745844530671,0.3272491566858472,0.2773635231792604,sf,chnk_juv,2021,geo
SF11,13736,1426.5196946221404,0.10385262773894441,0.362502624118705,0.1730669612799078,sf,chnk_juv,2021,geo
SF12,13198,875.0640021937434,0.06630277331366445,0.34670303057631385,0.10916284832082988,sf,chnk_juv,2021,geo
SF13,13101,726.7934492875356,0.055476181153158964,0.341639601039098,0.10958469670345038,sf,chnk_juv,2021,geo
SF14,11770,890.6579830717528,0.07567187621680142,0.3588609012006802,0.11781692405246891,sf,chnk_juv,2021,geo
SF15,13724,1190.2608215685468,0.08672841894262218,0.31446345255845093,0.16384629617252344,sf,chnk_juv,2021,geo
SF16,11996,918.1980094508035,0.0765420147924978,0.3115669935792635,0.13078159875048945,sf,chnk_juv,2021,geo
SF17,13468,1324.6031720167957,0.09835188387413096,0.29608114793211254,0.19253596370402593,sf,chnk_juv,2021,geo
SF18,14116,1561.6244227349525,0.11062796987354438,0.31902458731556926,0.22922382525932145,sf,chnk_juv,2021,geo
SF19,14079,1267.080988865695,0.08999793940377122,0.30700296133725413,0.17889867167757734,sf,chnk_juv,2021,geo
SF2,100863,10688.22081734764,0.10596770686324658,0.3246660816242934,0.20899279098967258,sf,chnk_juv,2021,geo
SF20,14239,1606.200032663066,0.11280286766367484,0.3070785844827661,0.23590325542203477,sf,chnk_juv,2021,geo
SF21,12814,1311.0081688857172,0.10231061096345538,0.3145983043744979,0.22299858424538915,sf,chnk_juv,2021,geo
SF22,14935,2631.244408583734,0.17617973944316934,0.264089617811101,0.3608084388177058,sf,chnk_juv,2021,geo
SF23,12660,1432.634991974337,0.11316232164094289,0.25661063582855637,0.24353539922301,sf,chnk_juv,2021,geo
SF24,9643,865.583186419215,0.08976285247528934,0.29991713404944426,0.19236242377400578,sf,chnk_juv,2021,geo
SF25,11841,1497.9812234694837,0.12650799961738735,0.27995159780074463,0.24255940696172648,sf,chnk_juv,2021,geo
SF26,11465,1522.4520515960176,0.1327912823023129,0.27076077250803576,0.24147353986105635,sf,chnk_juv,2021,geo
SF27,10382,1365.0667199888267,0.13148398381707058,0.2715112145333848,0.26445013023490543,sf,chnk_juv,2021,geo
SF28,11931,1269.1621057952289,0.10637516602088919,0.2282616998136978,0.2541139730379553,sf,chnk_juv,2021,geo
SF29,10214,1582.6604591375217,0.15495011348516954,0.24018782453415635,0.3272122540714539,sf,chnk_juv,2021,geo
SF3,48544,7206.513980626478,0.1484532379001829,0.2902229798499718,0.30256132010139797,sf,chnk_juv,2021,geo
SF30,7877,912.9272562088445,0.11589783625858124,0.26394222064779177,0.19256290840581627,sf,chnk_juv,2021,geo
SF31,8000,954.6212481877301,0.11932765602346626,0.2729671585946344,0.17317011807094354,sf,chnk_juv,2021,geo
SF32,8346,1277.391482788138,0.15305433534485238,0.28919216536838904,0.23214568282254197,sf,chnk_juv,2021,geo
SF33,6035,585.4166883046273,0.09700359375387363,0.26707535861978227,0.14932484272883717,sf,chnk_juv,2021,geo
SF4,46654,6917.825845345913,0.14827937251566667,0.2598515317175681,0.30064770809195385,sf,chnk_juv,2021,geo
SF5,35644,5094.157607061905,0.1429176749820981,0.2797551593612518,0.23499898466501445,sf,chnk_juv,2021,geo
SF9,14229,1178.511762412032,0.08282463717844066,0.37396974173978664,0.18316860664605442,sf,chnk_juv,2021,geo
