ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,1729,816.7301735854065,0.4723714132940466,0.5652013830764091,0.5341038415245096,nf,chnk_spw,2019,rkm
NF10,6738,585.4814591251323,0.08689246944570085,0.33361105974513866,0.0959263398194079,nf,chnk_spw,2019,rkm
NF11,7174,531.0705966149889,0.074027125259965,0.3292932730520274,0.08182125129118928,nf,chnk_spw,2019,rkm
NF12,7062,528.4940067540789,0.07483630795158297,0.30846996574131774,0.08138467102281621,nf,chnk_spw,2019,rkm
NF13,6704,603.9778602829392,0.0900921629300327,0.31504789018380613,0.09714863361237296,nf,chnk_spw,2019,rkm
NF14,6833,556.729168629215,0.08147653572796941,0.2729357769890619,0.08928635968465583,nf,chnk_spw,2019,rkm
NF15,5379,353.2843323602077,0.065678440669308,0.27187175610682895,0.07679305909900229,nf,chnk_spw,2019,rkm
NF16,5973,362.9163621436492,0.06075947800831227,0.2484886836375261,0.07710964800792411,nf,chnk_spw,2019,rkm
NF17,5451,435.1467329735018,0.07982878975848501,0.2807701030467371,0.10768120589617758,nf,chnk_spw,2019,rkm
NF18,4841,422.188228790011,0.08721095409832906,0.290480178556263,0.10917314842200353,nf,chnk_spw,2019,rkm
NF19,1559,130.68037997896388,0.08382320717059903,0.29770900692551316,0.09630605554770323,nf,chnk_spw,2019,rkm
NF2,7586,3275.7063436105627,0.4318094310058743,0.43517710646315805,0.5609681894248173,nf,chnk_spw,2019,rkm
NF3,6488,3001.384645482552,0.46260552488941925,0.46559538613071283,0.6026604475468894,nf,chnk_spw,2019,rkm
NF4,7366,2711.971164950224,0.36817420105216186,0.38514938664888193,0.47935401015328005,nf,chnk_spw,2019,rkm
NF5,5930,2084.696444003431,0.35155083372739143,0.41082241320296453,0.45436586730731804,nf,chnk_spw,2019,rkm
NF6,7291,1682.8843437479836,0.23081667038101544,0.38226244808998056,0.2705243023941625,nf,chnk_spw,2019,rkm
NF7,6784,957.7858365281968,0.14118305373351958,0.36582530466115704,0.15482808553268365,nf,chnk_spw,2019,rkm
NF8,7978,913.2692764322023,0.114473461573352,0.32644760271303336,0.12995051295039187,nf,chnk_spw,2019,rkm
NF9,7634,784.6174994603653,0.10277934234482122,0.35221022631730403,0.11549575372652364,nf,chnk_spw,2019,rkm
