ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,2077,1340.6045785645238,0.6454523729246624,0.49171859839948595,0.9560083811430647,nf,sthd_juv,2021,rkm
NF10,6991,3426.985236442851,0.49019957608966547,0.41982440546205196,0.7286241773923312,nf,sthd_juv,2021,rkm
NF11,7623,3732.490208897667,0.4896353415843719,0.3850913156132333,0.7650093539326072,nf,sthd_juv,2021,rkm
NF12,7379,3538.1105702009436,0.4794837471474378,0.3556025833851568,0.78688189240368,nf,sthd_juv,2021,rkm
NF13,6595,3337.4506700236457,0.5060577210043435,0.41172359911776196,0.7772799538881594,nf,sthd_juv,2021,rkm
NF14,6789,3372.862059199463,0.49681279410803697,0.35705911509128535,0.8198596330701426,nf,sthd_juv,2021,rkm
NF15,6167,2676.303721339365,0.4339717401231336,0.3172360298524166,0.7571475199657232,nf,sthd_juv,2021,rkm
NF16,6239,2813.4864651777766,0.4509515090844329,0.31994169056973865,0.7950753593509471,nf,sthd_juv,2021,rkm
NF17,5667,2724.8930047507483,0.4808351870038377,0.3337167535774119,0.8431859503394721,nf,sthd_juv,2021,rkm
NF18,5392,2602.417686275673,0.48264422965053283,0.3729504038473972,0.7922949381507448,nf,sthd_juv,2021,rkm
NF19,1734,853.7502629853944,0.49235885985316863,0.3594219646625452,0.821289827551882,nf,sthd_juv,2021,rkm
NF2,8098,5134.864215140468,0.6340904192566644,0.5116704716093365,0.9051059705684777,nf,sthd_juv,2021,rkm
NF3,7047,4360.786009016226,0.6188145322855436,0.47654454624029324,0.9296745581885062,nf,sthd_juv,2021,rkm
NF4,7193,4381.5656962330595,0.6091430135177338,0.4705036284046976,0.9178643331242698,nf,sthd_juv,2021,rkm
NF5,6647,3704.530912948756,0.5573237419811579,0.4437414677943181,0.8434973792568824,nf,sthd_juv,2021,rkm
NF6,9031,4859.402111753922,0.5380801806836366,0.41898020222215815,0.8262455404396506,nf,sthd_juv,2021,rkm
NF7,8039,3981.206143941344,0.49523649010341386,0.3715760386211093,0.7960579805445229,nf,sthd_juv,2021,rkm
NF8,7734,3805.738526283203,0.4920789405589867,0.39693552657729864,0.746605026954256,nf,sthd_juv,2021,rkm
NF9,7800,3996.5255704488336,0.5123750731344658,0.429169466430664,0.7766983443012642,nf,sthd_juv,2021,rkm
