Strm_Name,Reach ID,From RKM,To RKM,From RM,To RM
Walla Walla River,WW1,44.1,57.2,27.4,35.5
Walla Walla River,WW2,57.2,68.7,35.5,42.7
Walla Walla River,WW3,68.7,72.8,42.7,45.2
Walla Walla River,WW4,72.8,77.9,45.2,48.4
Walla Walla River,WW5,77.9,82.6,48.4,51.3
